year,states,Lon,Lat
2028,Mato Grosso,-59.19286335,-12.40655764
2026,Amazonas,-60.84890347,-5.552071471
2019,Para,-54.32245262,-3.521898657
2026,Rondonia,-62.28010353,-9.625934551
2029,Para,-55.46941288,-2.467459665
2027,Acre,-69.44850769,-9.518272716
2019,Para,-50.08809643,-4.021259327
2029,Para,-49.82112923,-3.790886805
2026,Para,-54.28503513,-3.286417477
2021,Para,-52.5331638,-2.987642071
2029,Amazonas,-57.29002457,-2.336358825
2024,Rondonia,-65.03808846,-10.24844898
2020,Para,-51.39805,-3.768342135
2026,Para,-51.34883118,-3.139947524
2028,Mato Grosso,-50.3706802,-12.51705085
2022,Maranhao,-45.49973236,-4.683698134
2026,Para,-50.44403152,-3.496270195
2027,Rondonia,-63.91838554,-10.39630379
2020,Mato Grosso,-50.64276562,-11.71975044
2027,Maranhao,-46.95501564,-2.599372448
2020,Roraima,-60.975644,1.88653016
2021,Amazonas,-57.98699409,-5.637246828
2028,Amazonas,-59.50063587,-3.406400563
2024,Mato Grosso,-59.82739246,-12.33817151
2024,Mato Grosso,-56.60335735,-11.15364234
2019,Mato Grosso,-59.54746346,-11.27448165
2022,Para,-51.82252296,-3.25362329
2022,Mato Grosso,-57.96732666,-10.32813284
2024,Para,-49.97249237,-3.475615244
2020,Para,-46.81039185,-2.61499593
2019,Acre,-73.3726326,-7.934311121
2019,Para,-47.49811031,-3.877754209
2027,Para,-51.49659855,-4.515759466
2022,Para,-51.36851555,-4.675614613
2021,Amazonas,-69.35865112,-7.360917298
2025,Maranhao,-45.40446255,-4.474705826
2029,Acre,-67.4854702,-9.116816143
2023,Para,-50.22935696,-3.293037781
2021,Amazonas,-60.82540874,-4.644063903
2028,Rondonia,-64.05532249,-9.785102946
2026,Amazonas,-58.72475555,-3.975041105
2021,Para,-47.85160027,-2.863134415
2029,Acre,-67.5117675,-8.445904097
2021,Roraima,-59.95245342,1.012892607
2025,Para,-49.99771038,-3.424329695
2023,Maranhao,-44.705849,-3.178593751
2022,Maranhao,-46.38646175,-3.386757421
2026,Acre,-71.33629288,-8.382837625
2026,Para,-47.36581413,-0.777465692
2021,Para,-49.88110035,-6.909316051
2020,Amazonas,-61.14975006,-3.226136049
2020,Roraima,-60.35723911,0.653438461
2021,Para,-47.98484734,-3.837317876
2029,Para,-49.89281429,-3.374045167
2021,Para,-51.12002029,-3.715149028
2027,Amapa,-51.75151905,-0.120098596
2026,Para,-51.92132839,-3.81006013
2026,Para,-50.20355839,-3.586139773
2026,Para,-51.57505276,-3.204904544
2027,Rondonia,-62.54661381,-9.106863748
2021,Mato Grosso,-59.38249874,-12.17617366
2019,Para,-55.88154877,-1.846672248
2022,Para,-51.14613934,-3.453971231
2028,Amazonas,-68.02860001,-2.787536292
2019,Mato Grosso,-59.75479042,-12.77611429
2020,Maranhao,-48.11405807,-2.430483681
2020,Para,-50.09381107,-3.565636831
2021,Para,-49.77215313,-5.417194154
2026,Amazonas,-58.91814381,-3.980179638
2020,Para,-51.02462105,-3.367857654
2022,Para,-51.21144497,-3.253524828
2027,Amazonas,-67.4637598,-8.281641713
2023,Amapa,-51.71143951,3.148676313
2021,Rondonia,-62.341688,-9.211701643
2021,Para,-49.78196125,-5.475750863
2028,Para,-51.94828415,-2.501162121
2028,Rondonia,-60.70893593,-9.002541
2023,Para,-50.32789337,-4.5728303
2027,Para,-50.52425446,-3.743293437
2022,Rondonia,-60.62644562,-9.506513665
2023,Para,-50.37515202,-6.19060673
2026,Para,-56.07208752,-3.929098403
2021,Maranhao,-46.68209579,-2.309186568
2020,Maranhao,-48.33163406,-2.414587308
2027,Para,-55.96714176,-4.226470537
2019,Para,-48.05121117,-1.871731977
2019,Rondonia,-62.90637463,-8.481243893
